               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.014891,            0.016863,          0.00084012,             0.40471,                 0.5,             0.48579,             0.39357,            0.026537,           0.0080299,          0.00084658,            0.006271,            0.006271,            0.006271
                 115,            0.016103,            0.017776,          0.00099006,             0.95071,             0.48134,             0.47664,             0.40113,            0.026314,           0.0084257,          0.00095129,            0.006238,            0.006238,            0.006238
                 116,            0.014943,            0.017863,           0.0011207,             0.95186,             0.49412,             0.50332,             0.41951,            0.026417,           0.0080976,          0.00088377,            0.006205,            0.006205,            0.006205
                 117,            0.015512,             0.01697,          0.00072772,             0.91062,                 0.5,             0.45494,             0.37875,            0.025366,           0.0085678,           0.0021692,            0.006172,            0.006172,            0.006172
                 118,             0.01543,            0.017316,          0.00070358,              0.4225,             0.51145,             0.47915,             0.40737,            0.025555,           0.0078483,            0.002775,            0.006139,            0.006139,            0.006139
                 119,            0.015367,            0.017824,          0.00068186,             0.71785,              0.5625,             0.51622,              0.4028,            0.028248,           0.0079217,           0.0027985,            0.006106,            0.006106,            0.006106
                 120,            0.014713,            0.017728,           0.0010742,             0.91865,             0.47398,             0.46956,             0.37415,            0.031037,            0.010212,            0.001028,            0.006073,            0.006073,            0.006073
                 121,            0.014631,            0.017844,           0.0007214,             0.47935,              0.5625,             0.48188,             0.39185,            0.026826,           0.0086718,           0.0013039,             0.00604,             0.00604,             0.00604
                 122,            0.015231,            0.017388,          0.00073917,             0.59273,              0.5625,             0.48258,              0.3969,            0.025818,           0.0084343,           0.0007225,            0.006007,            0.006007,            0.006007
                 123,            0.015544,            0.017493,          0.00065486,             0.63775,              0.5625,             0.51422,             0.40501,            0.026602,           0.0080328,           0.0040577,            0.005974,            0.005974,            0.005974
                 124,            0.015118,            0.017751,          0.00072116,             0.90524,                 0.5,             0.51845,              0.3937,            0.026501,           0.0079246,           0.0060509,            0.005941,            0.005941,            0.005941
                 125,            0.015635,            0.018154,          0.00094594,             0.90241,                 0.5,             0.52714,             0.40443,            0.026999,           0.0080714,           0.0066047,            0.005908,            0.005908,            0.005908
                 126,            0.015171,            0.017068,          0.00063419,             0.90779,                 0.5,             0.47863,             0.37279,             0.02899,            0.008194,           0.0086492,            0.005875,            0.005875,            0.005875
                 127,            0.015159,            0.017025,          0.00072962,             0.91177,                 0.5,             0.45019,             0.37393,            0.027211,           0.0083084,           0.0079356,            0.005842,            0.005842,            0.005842
                 128,            0.015258,            0.017216,          0.00062174,             0.91244,                 0.5,             0.46196,             0.40536,            0.027808,           0.0079708,            0.005497,            0.005809,            0.005809,            0.005809
                 129,            0.014728,            0.016481,          0.00074098,             0.92147,                 0.5,             0.47897,             0.39718,            0.027172,           0.0082111,           0.0053193,            0.005776,            0.005776,            0.005776
                 130,            0.014588,            0.016569,           0.0010496,             0.90525,                 0.5,              0.4721,             0.40469,            0.028114,            0.008811,           0.0076186,            0.005743,            0.005743,            0.005743
                 131,            0.015015,            0.016393,          0.00065529,             0.92929,             0.48684,             0.45732,              0.3762,            0.026654,           0.0079422,           0.0043238,             0.00571,             0.00571,             0.00571
                 132,            0.015013,            0.017372,          0.00086642,              0.9004,                 0.5,             0.49075,             0.36604,            0.028594,           0.0083871,           0.0023795,            0.005677,            0.005677,            0.005677
                 133,            0.014466,            0.016002,          0.00065405,              0.8991,                 0.5,             0.51096,             0.38564,            0.028506,           0.0084372,           0.0020494,            0.005644,            0.005644,            0.005644
                 134,             0.01434,            0.017407,          0.00063681,             0.89683,                 0.5,             0.51943,             0.42532,            0.025196,           0.0078106,           0.0026435,            0.005611,            0.005611,            0.005611
                 135,            0.013646,            0.016173,          0.00062917,             0.87516,              0.5625,             0.51801,             0.41567,            0.026144,            0.007957,           0.0072687,            0.005578,            0.005578,            0.005578
                 136,            0.015161,            0.017703,          0.00073739,             0.69543,              0.5625,             0.52807,             0.42233,            0.025515,           0.0083237,           0.0056126,            0.005545,            0.005545,            0.005545
                 137,             0.01544,            0.016826,          0.00063914,              0.5885,              0.5625,             0.55012,             0.43619,            0.024298,           0.0080757,          0.00073709,            0.005512,            0.005512,            0.005512
                 138,            0.014761,            0.016458,            0.001018,             0.92588,                 0.5,             0.47183,              0.3913,              0.0275,           0.0080996,           0.0010461,            0.005479,            0.005479,            0.005479
                 139,            0.014498,             0.01648,          0.00073965,             0.91152,                 0.5,             0.45595,             0.37879,            0.025809,           0.0079784,           0.0010744,            0.005446,            0.005446,            0.005446
                 140,            0.014114,            0.016068,          0.00075958,             0.89983,                 0.5,             0.47873,             0.38765,            0.024972,           0.0082741,           0.0011585,            0.005413,            0.005413,            0.005413
                 141,             0.01388,            0.017351,          0.00051502,              0.6395,               0.625,             0.55971,             0.43415,            0.024253,           0.0080404,           0.0012332,             0.00538,             0.00538,             0.00538
                 142,             0.01506,            0.017993,          0.00061088,             0.67186,              0.5625,             0.55924,             0.42701,            0.024341,           0.0078068,           0.0013747,            0.005347,            0.005347,            0.005347
                 143,            0.013359,             0.01708,          0.00066958,             0.60394,             0.59337,             0.58045,             0.42932,            0.024833,            0.007987,          0.00095644,            0.005314,            0.005314,            0.005314
                 144,            0.013993,            0.017266,          0.00069126,             0.91252,             0.49644,             0.47628,             0.39685,            0.024645,           0.0081482,           0.0008296,            0.005281,            0.005281,            0.005281
