               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.016779,             0.01889,           0.0010695,             0.92648,                 0.5,             0.47191,             0.37688,            0.030958,           0.0086427,          0.00056343,            0.006469,            0.006469,            0.006469
                 109,            0.016594,            0.019571,            0.001333,             0.93181,                 0.5,             0.45598,             0.36461,            0.032632,           0.0090408,          0.00067391,            0.006436,            0.006436,            0.006436
                 110,            0.017288,            0.019237,            0.001049,             0.90278,                 0.5,             0.55575,             0.38553,            0.031007,            0.009232,          0.00078459,            0.006403,            0.006403,            0.006403
                 111,            0.015897,             0.01829,           0.0013069,             0.88917,                 0.5,             0.58832,              0.3994,             0.03002,           0.0088582,          0.00039186,             0.00637,             0.00637,             0.00637
                 112,            0.016711,            0.018977,           0.0012442,             0.92505,             0.44737,             0.53424,             0.38327,            0.027968,           0.0095539,          0.00040441,            0.006337,            0.006337,            0.006337
                 113,            0.015713,            0.019229,           0.0012024,             0.93824,             0.47368,             0.53201,             0.41772,            0.026768,           0.0085144,            0.000492,            0.006304,            0.006304,            0.006304
                 114,            0.016115,            0.017979,           0.0012859,             0.89169,                 0.5,             0.51253,             0.38893,            0.028344,            0.008708,           0.0011551,            0.006271,            0.006271,            0.006271
                 115,            0.016694,            0.018863,           0.0010633,              0.8956,              0.4986,               0.452,             0.37292,            0.032529,           0.0088177,           0.0013866,            0.006238,            0.006238,            0.006238
                 116,            0.015443,            0.019247,           0.0013276,              0.8936,                 0.5,             0.44289,             0.36301,            0.031214,           0.0092478,          0.00075979,            0.006205,            0.006205,            0.006205
                 117,            0.016279,            0.018117,          0.00089858,             0.92801,             0.46053,             0.46411,             0.37088,            0.028188,           0.0093346,           0.0014479,            0.006172,            0.006172,            0.006172
                 118,            0.016314,            0.018368,           0.0010107,             0.90259,                 0.5,             0.44884,             0.38125,            0.027723,           0.0091257,          0.00078697,            0.006139,            0.006139,            0.006139
                 119,            0.016006,            0.018786,          0.00085473,             0.92804,                 0.5,             0.45802,             0.37444,            0.030575,           0.0084743,          0.00049734,            0.006106,            0.006106,            0.006106
                 120,            0.015773,            0.018817,           0.0012827,             0.93791,             0.48684,             0.47062,             0.39978,            0.029907,           0.0087099,          0.00053663,            0.006073,            0.006073,            0.006073
                 121,            0.015731,            0.018898,          0.00096711,             0.89472,                 0.5,             0.46883,             0.37177,            0.026906,            0.010433,           0.0038643,             0.00604,             0.00604,             0.00604
                 122,            0.015925,            0.018719,           0.0010955,             0.93425,             0.47368,             0.47501,             0.40692,            0.025879,           0.0090075,          0.00094843,            0.006007,            0.006007,            0.006007
                 123,            0.015494,            0.018705,          0.00078901,             0.90768,                 0.5,             0.50099,             0.39196,            0.029335,           0.0093303,          0.00041857,            0.005974,            0.005974,            0.005974
                 124,            0.016362,            0.018685,          0.00084476,             0.88566,                 0.5,             0.61081,             0.43244,            0.028519,           0.0090742,          0.00052013,            0.005941,            0.005941,            0.005941
                 125,            0.016128,             0.01926,          0.00097169,             0.91403,                 0.5,             0.57354,             0.39982,             0.03274,           0.0095096,            0.001479,            0.005908,            0.005908,            0.005908
                 126,            0.016785,            0.018723,           0.0010216,             0.91726,                 0.5,             0.48014,             0.37968,            0.030949,           0.0088782,          0.00041847,            0.005875,            0.005875,            0.005875
                 127,            0.016168,            0.018414,            0.001153,              0.9028,                 0.5,             0.47871,             0.39379,            0.029339,           0.0084095,          0.00039692,            0.005842,            0.005842,            0.005842
                 128,            0.016017,            0.018512,          0.00098495,             0.89539,                 0.5,             0.45264,             0.38567,            0.029556,           0.0088525,          0.00038283,            0.005809,            0.005809,            0.005809
                 129,            0.016152,            0.017852,          0.00097159,             0.91158,                 0.5,             0.45581,             0.37945,            0.027527,           0.0087748,          0.00049171,            0.005776,            0.005776,            0.005776
